DATE,Arbeitslosenquote ,Bestand Arbeitslose,Zugang Arbeitslose,Abgang Arbeitslose
2020-01-31,5.3,2425520.0,673900.0,475550.0
2020-02-29,5.3,2395600.0,599800.0,629710.0
2020-03-31,5.1,2335370.0,584760.0,645000.0
2020-04-30,5.8,2643740.0,667530.0,359160.0
2020-05-31,6.1,2812990.0,484300.0,315060.0
2020-06-30,6.2,2853310.0,418630.0,378320.0
2020-07-31,6.3,2910010.0,471500.0,414830.0
2020-08-31,6.4,2955490.0,524590.0,479120.0
2020-09-30,6.2,2847150.0,496680.0,605010.0
2020-10-31,6.0,2759780.0,534670.0,622040.0
2020-11-30,5.9,2699130.0,506820.0,567480.0
2020-12-31,5.9,2707240.0,482430.0,474320.0
2021-01-31,6.3,2900660.0,598660.0,405260.0
2021-02-28,6.3,2904410.0,473010.0,469270.0
2021-03-31,6.2,2827450.0,430230.0,507200.0
2021-04-30,6.0,2771230.0,497980.0,554210.0
2021-05-31,5.9,2687190.0,436860.0,520910.0
2021-06-30,5.7,2613830.0,432020.0,505400.0
2021-07-31,5.6,2590310.0,489250.0,512730.0
2021-08-31,5.6,2578470.0,523680.0,535520.0
2021-09-30,5.4,2464790.0,498150.0,611830.0
2021-10-31,0.2,2376930.0,476910.0,564780.0
2021-11-30,5.1,2317070.0,466150.0,526000.0
2021-12-31,5.1,2329530.0,500800.0,488350.0
2022-01-31,5.4,2462160.0,531340.0,398670.0
2022-02-28,5.3,2427960.0,498770.0,532980.0
2022-03-31,5.1,2362160.0,437160.0,502950.0
2022-04-30,5.0,2309210.0,470250.0,523200.0
2022-05-31,4.9,2259650.0,435200.0,484760.0
2022-06-30,6.2,2362890.0,565700.0,462460.0
2022-07-31,5.4,2470240.0,577240.0,469890.0
2022-08-31,5.6,2547340.0,579820.0,502710.0
2022-09-30,5.4,2485740.0,544760.0,606360.0
2022-10-31,5.3,2442350.0,544180.0,587590.0
2022-11-30,5.3,2434020.0,531660.0,539980.0
2022-12-31,5.4,2453880.0,524930.0,505060.0
2023-01-31,5.7,2616020.0,570110.0,407920.0
2023-02-28,5.7,2620170.0,578700.0,574510.0
2023-03-31,5.7,2593770.0,511820.0,538220.0
2023-04-30,5.7,2585680.0,554070.0,562160.0
2023-05-31,5.5,2543740.0,480070.0,521980.0
2023-06-30,5.5,2554980.0,512780.0,501520.0
2023-07-31,5.7,2617190.0,557300.0,495040.0
2023-08-31,5.8,2695830.0,608750.0,530110.0
2023-09-30,5.7,2627100.0,519570.0,588300.0
2023-10-31,5.7,2607120.0,547140.0,567130.0
2023-11-30,5.6,2605730.0,552180.0,553570.0
2023-12-31,5.7,2636730.0,557170.0,526200.0
2024-01-31,6.1,2805380.0,633170.0,464430.0
2024-02-29,6.1,2813810.0,579240.0,570810.0
2024-03-31,6.0,2769280.0,544550.0,589090.0
2024-04-30,6.0,2749580.0,594500.0,614220.0
2024-05-31,5.8,2722550.0,530150.0,557170.0
2024-06-30,5.8,2726570.0,501830.0,497800.0
2024-07-31,6.0,2808720.0,639110.0,556970.0
2024-08-31,6.1,2871910.0,591370.0,528180.0
2024-09-30,6.0,2806360.0,536900.0,602450.0
2024-10-31,6.0,2790530.0,614150.0,629990.0
2024-11-30,5.9,2774030.0,554830.0,571350.0
2024-12-31,6.0,2806630.0,562260.0,529670.0
